,created:,tough one,,
join,fokwota/joen/joenem/joenjoenem,joenem,,
joint,joenkot,,skru,
joke,mekelaf,,giaman,
judge,jaj/jajem,,jas,
july,julae,,julai,
june,jun,,jun,
just,jas,nomoa,tasol,
keep,kip/kipim,kipim,,
kick,kik/kikikim/kikim/kikimaot,,kik,
kill,kilimbak/posenem,,kilim/kilim i dai pinis,
kilogram,kilo,,kilogiram,
kind,kaen/kaenkaen/saladfis/silvafis/smolhan/waelkavika/waelnakavika/waelnangae/waelnatavoa/waelnatongtong/waelnavele/waelnaviso/waelpima,kaen,,
kitchen,kijin,,haus kuk/hauskuk/kisen,
knee,ni,ni,skru bilon lek/skru,ni
kneel,nidaon/nildaon,,nildaun,
knife,naef,,naip,
know,,save,save,
lamp,lam,,lam,
laplap,nahuri/nakwa,,laplap,
large,bigfala/bighed/bignamba/bignambas/bigwan/kokot,,traipela,
last,las/laskwota/laswan,,bihain tru,
laugh,laf,,lap,
law,loa,,lo,
lawnmower,lonmo,,mowa,
lawyer,loaken/loea/loeaken/navula,,loia/loya/loman/saveman long lo,
leaf,lif,lif,lip/lip/lip bilong diwai,
learn,lan/lanem,,lainim,
left,lef/lefhaf/lefhan/lefsaed/lefwing/namalas,,lephan/kais,
lemon,laman,,muli,
lemonade,limonad,,limonad/muliwara/loliwara,
letter,dabolyu/leta,,pas/leta,
liar,,laeia,man bilong giaman/giamanman,
licence,laesens,,laisens/pemit,
lick,likim,,likim,
light,kolsingglet/kolsot/laet/laetem/laetlaetem/laetskin/lapul/smolplen/sotkol,,lait,
lightning,laetning,,klaut i lait,
like,laek/laekem/laeklaekem/olsem,laek/laekem,laikim,
line,laen/laenamap/laenap/laenem/laenlaenap,,lain,
listen,lisin,,harim,
litre,lita,,lita,
little,,,liklik,
liver,leva,liva,lewa/liva,liba
lizard,lised/nabiga/nabigae,,palai,gwana
loan,lon,,lon,
long,bigsan/lo/longfala/longlongfala/longtaem/longtraoses/longwe/teb,,longpela/long/longpela,
look,atasiong/luk/lukaot/lukaotem/lukbak/lukim/lukluk/luklukaotem/luktru/lukum,,luk/lukluk,
lose,lus/lusum/mesmestem,,lusim,
louse,kuti/laos/nakutu,laos,laus,laus
love,lav/lavem/lavlavem/masing/su,,laikim,
machine,masin/misin,,masin,
magic,majik,,majik/puripuri/sanguma,
magistrate,majistret,,majestret,
main,bigrod,,bikpela,
